text,label
Government announces new education policy for public schools,REAL
Scientists discover new vaccine that prevents cancer,REAL
Stock market reaches all time high after economic recovery,REAL
Pakistan wins cricket world cup in final match,REAL
New hospital opened in Karachi to serve poor patients,REAL
Government launches free laptop scheme for students,REAL
Scientists find new species of fish in Arabian Sea,REAL
Electric cars becoming popular in Pakistan cities,REAL
University students win international coding competition,REAL
New bridge constructed over River Indus in Sindh,REAL
Solar panels installed in rural areas of Punjab,REAL
Pakistan exports increase by 20 percent this year,REAL
New railway track connects Lahore to Islamabad,REAL
Doctors develop new medicine for diabetes patients,REAL
Government builds new schools in backward areas,REAL
Research shows exercise improves mental health,REAL
Pakistan cricket team trains hard for next series,REAL
New technology helps farmers grow better crops,REAL
Scientists confirm earth is getting warmer each year,REAL
Students from Karachi win science olympiad gold medal,REAL
Aliens attacked Karachi city last night,FAKE
Drinking petrol cures fever and all diseases,FAKE
Moon will crash into Earth next Friday morning,FAKE
Scientists discover humans can fly without wings,FAKE
Eating stones makes your bones stronger say doctors,FAKE
Government secretly replaced all politicians with robots,FAKE
5G towers are spreading disease to humans,FAKE
Dinosaurs found alive in forest of Balochistan,FAKE
Drinking bleach cures all infections immediately,FAKE
Sun will explode tomorrow and destroy earth,FAKE
Bill Gates invented coronavirus to sell vaccines,FAKE
Lizards are secretly controlling world governments,FAKE
New pill lets you sleep for only one hour and feel fresh,FAKE
Scientists prove that earth is actually flat,FAKE
Humans only use 10 percent of their brain,FAKE
Vaccine contains microchip to track all humans,FAKE
Onion in socks cures fever overnight guaranteed,FAKE
CIA created HIV virus in secret laboratory,FAKE
Drinking hot water kills all viruses in body,FAKE
Moon landing was filmed in Hollywood studio,FAKE
Government announces budget increase for health sector,REAL
New dam construction begins in Khyber Pakhtunkhwa,REAL
Pakistan signs trade agreement with China this week,REAL
Education minister visits schools in rural sindh,REAL
Scientists develop cheaper solar energy technology,REAL
New app helps citizens report crimes to police,REAL
Karachi gets new water supply system this year,REAL
Students protest for better facilities in university,REAL
Pakistan team wins gold in Asian games swimming,REAL
New factory creates thousands of jobs in Faisalabad,REAL
Invisible man spotted walking in Lahore market,FAKE
Eating grass gives humans supernatural powers,FAKE
Secret tunnel found connecting Pakistan to moon,FAKE
Scientists say sleeping more than 8 hours causes death,FAKE
New study proves ghosts are real and live among us,FAKE
Government hiding alien spaceship in Islamabad,FAKE
Drinking camel urine cures cancer say fake doctors,FAKE
Fish rain falls from sky over Peshawar city,FAKE
Scientists discover time travel machine in basement,FAKE
Eating ice cream every day makes you smarter,FAKE

